axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
uavs,num_uav,1.0,random,8.099842819205838,0.3170213933709704,1.0,2.7999999999999994,20
uavs,num_uav,1.0,kmeans,8.382080278771296,0.15785047494758106,1.0,2.7999999999999994,20
uavs,num_uav,1.0,pso,8.411131074071946,0.14867167784785879,1.0,2.7999999999999994,20
uavs,num_uav,1.0,sca,8.487602747604742,0.12194903969284125,1.0,2.7999999999999994,20
uavs,num_uav,2.0,random,8.563914574276273,0.23689343259697895,1.0,2.7999999999999994,20
uavs,num_uav,2.0,kmeans,8.687345757368877,0.1072422269060055,1.0,2.7999999999999994,20
uavs,num_uav,2.0,pso,8.758138306120973,0.0706597747011383,1.0,2.7999999999999994,20
uavs,num_uav,2.0,sca,8.77647238320916,0.07521994068638689,1.0,2.7999999999999994,20
uavs,num_uav,3.0,random,8.765392407670278,0.18168663653118441,1.0,2.7999999999999994,20
uavs,num_uav,3.0,kmeans,8.837533755021678,0.05221345309142245,1.0,2.7999999999999994,20
uavs,num_uav,3.0,pso,8.853511733990693,0.04551256912736568,1.0,2.7999999999999994,20
uavs,num_uav,3.0,sca,8.894567455159576,0.034584335451547564,1.0,2.7999999999999994,20
uavs,num_uav,4.0,random,8.8923644104845,0.04753711740240795,1.0,2.7999999999999994,20
uavs,num_uav,4.0,kmeans,8.901394847429357,0.041713215208521184,1.0,2.7999999999999994,20
uavs,num_uav,4.0,pso,8.910206285899308,0.025237376601413244,1.0,2.7999999999999994,20
uavs,num_uav,4.0,sca,8.939253048212956,0.02208470361126354,1.0,2.7999999999999994,20
uavs,num_uav,5.0,random,8.9431024312178,0.026563132156706484,1.0,2.7999999999999994,20
uavs,num_uav,5.0,kmeans,8.936535693787459,0.019698931410132854,1.0,2.7999999999999994,20
uavs,num_uav,5.0,pso,8.941769708717665,0.016984329855555143,1.0,2.7999999999999994,20
uavs,num_uav,5.0,sca,8.959249102055455,0.01331347256888614,1.0,2.7999999999999994,20
iots,num_iot,10.0,random,8.765392407670278,0.18168663653118441,1.0,2.7999999999999994,20
iots,num_iot,10.0,kmeans,8.837533755021678,0.05221345309142245,1.0,2.7999999999999994,20
iots,num_iot,10.0,pso,8.853511733990693,0.04551256912736568,1.0,2.7999999999999994,20
iots,num_iot,10.0,sca,8.894567455159576,0.034584335451547564,1.0,2.7999999999999994,20
iots,num_iot,16.0,random,8.842725377532606,0.0763766796968602,1.0,2.7999999999999994,20
iots,num_iot,16.0,kmeans,8.8577226072593,0.046093314548534416,1.0,2.7999999999999994,20
iots,num_iot,16.0,pso,8.86643593616302,0.04138655471039875,1.0,2.7999999999999994,20
iots,num_iot,16.0,sca,8.913523371976677,0.026771657118061416,1.0,2.7999999999999994,20
iots,num_iot,20.0,random,8.8549629841417,0.05895219488203063,1.0,2.7999999999999994,20
iots,num_iot,20.0,kmeans,8.870028040476395,0.03768836958095188,1.0,2.7999999999999994,20
iots,num_iot,20.0,pso,8.888505880351442,0.028652997869679755,1.0,2.7999999999999994,20
