axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
uavs,num_uav,1.0,random,8.500077041659045,0.2377929555325682,1.0,2.7999999999999994,20
uavs,num_uav,1.0,kmeans,8.565328923832562,0.1349461522496424,1.0,2.7999999999999994,20
uavs,num_uav,1.0,pso,8.597217731459121,0.11742394644517427,1.0,2.7999999999999994,20
uavs,num_uav,1.0,sca,8.758115917432097,0.082097377314511,1.0,2.7999999999999994,20
uavs,num_uav,2.0,random,8.797533595845385,0.10611915221971527,1.0,2.7999999999999994,20
uavs,num_uav,2.0,kmeans,8.79014062520311,0.09843242579752262,1.0,2.7999999999999994,20
uavs,num_uav,2.0,pso,8.84769972948907,0.06195960116668476,1.0,2.7999999999999994,20
uavs,num_uav,2.0,sca,8.885710543045436,0.044364889927631636,1.0,2.7999999999999994,20
uavs,num_uav,3.0,random,8.927646898849277,0.03514471422657701,1.0,2.7999999999999994,20
uavs,num_uav,3.0,kmeans,8.90083905801947,0.02956490132021408,1.0,2.7999999999999994,20
uavs,num_uav,3.0,pso,8.904552392856989,0.033467912461454564,1.0,2.7999999999999994,20
uavs,num_uav,3.0,sca,8.946425328822473,0.025310058842697915,1.0,2.7999999999999994,20
uavs,num_uav,4.0,random,8.966299236804579,0.008725754240325881,1.0,2.7999999999999994,20
uavs,num_uav,4.0,kmeans,8.939118623826891,0.03179784443584924,1.0,2.7999999999999994,20
uavs,num_uav,4.0,pso,8.942248222410273,0.020361315145407184,1.0,2.7999999999999994,20
uavs,num_uav,4.0,sca,8.970568487409304,0.009135223876463601,1.0,2.7999999999999994,20
uavs,num_uav,5.0,random,8.974812489150912,0.006859825275657384,1.0,2.7999999999999994,20
uavs,num_uav,5.0,kmeans,8.963590700785785,0.011597915229777458,1.0,2.7999999999999994,20
uavs,num_uav,5.0,pso,8.962528555252911,0.011181477866380202,1.0,2.7999999999999994,20
uavs,num_uav,5.0,sca,8.977164387769564,0.005381762941495688,1.0,2.7999999999999994,20
iots,num_iot,10.0,random,8.927646898849277,0.03514471422657701,1.0,2.7999999999999994,20
iots,num_iot,10.0,kmeans,8.90083905801947,0.02956490132021408,1.0,2.7999999999999994,20
iots,num_iot,10.0,pso,8.904552392856989,0.033467912461454564,1.0,2.7999999999999994,20
