axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
uavs,num_uav,1.0,random,4.978365274173135,0.8560262668284145,1.0,2.7999999999999994,20
uavs,num_uav,1.0,kmeans,4.581887551517972,0.7830754608131023,1.0,2.7999999999999994,20
uavs,num_uav,1.0,pso,6.018445670460574,0.6405544378767207,1.0,2.7999999999999994,20
uavs,num_uav,1.0,sca,6.0253142794967385,0.6438314555584036,1.0,2.7999999999999994,20
uavs,num_uav,2.0,random,6.761411165519605,0.6711400058946119,1.0,2.7999999999999994,20
uavs,num_uav,2.0,kmeans,6.16509555058594,0.9720288431610009,1.0,2.7999999999999994,20
uavs,num_uav,2.0,pso,7.522299769071391,0.30301626297607753,1.0,2.7999999999999994,20
uavs,num_uav,2.0,sca,7.486021879010794,0.4432178568149148,1.0,2.7999999999999994,20
uavs,num_uav,3.0,random,7.94693536757907,0.46427523880974675,1.0,2.7999999999999994,20
uavs,num_uav,3.0,kmeans,7.474058203702092,0.4415719059567104,1.0,2.7999999999999994,20
uavs,num_uav,3.0,pso,8.121866195236159,0.2515250254896294,1.0,2.7999999999999994,20
uavs,num_uav,3.0,sca,8.300137868754854,0.27840929776761675,1.0,2.7999999999999994,20
uavs,num_uav,4.0,random,8.48141325261735,0.2104999807318477,1.0,2.7999999999999994,20
uavs,num_uav,4.0,kmeans,8.109847533776055,0.487873308713592,1.0,2.7999999999999994,20
uavs,num_uav,4.0,pso,8.412822453957352,0.20938018322015756,1.0,2.7999999999999994,20
uavs,num_uav,4.0,sca,8.580325897669997,0.18814447646247362,1.0,2.7999999999999994,20
uavs,num_uav,5.0,random,8.669748695933874,0.17370239712793362,1.0,2.7999999999999994,20
uavs,num_uav,5.0,kmeans,8.531117539766807,0.20553346567233466,1.0,2.7999999999999994,20
uavs,num_uav,5.0,pso,8.607183004327837,0.13675998267938522,1.0,2.7999999999999994,20
uavs,num_uav,5.0,sca,8.764529304257495,0.1053968801516496,1.0,2.7999999999999994,20
iots,num_iot,10.0,random,7.94693536757907,0.46427523880974675,1.0,2.7999999999999994,20
iots,num_iot,10.0,kmeans,7.474058203702092,0.4415719059567104,1.0,2.7999999999999994,20
iots,num_iot,10.0,pso,8.121866195236159,0.2515250254896294,1.0,2.7999999999999994,20
iots,num_iot,10.0,sca,8.300137868754854,0.27840929776761675,1.0,2.7999999999999994,20
iots,num_iot,16.0,random,7.43203207700113,0.708992944012894,1.0,2.7999999999999994,20
iots,num_iot,16.0,kmeans,7.341831215810066,0.47590363105897016,1.0,2.7999999999999994,20
iots,num_iot,16.0,pso,7.891935562408144,0.23590286449598546,1.0,2.7999999999999994,20
iots,num_iot,16.0,sca,8.065357249319064,0.27840190630114114,1.0,2.7999999999999994,20
iots,num_iot,20.0,random,7.03588397540527,0.8253685739284039,1.0,2.7999999999999994,20
iots,num_iot,20.0,kmeans,7.343915611262498,0.5103268024355208,1.0,2.7999999999999994,20
iots,num_iot,20.0,pso,7.745219494099331,0.2097220492613059,1.0,2.7999999999999994,20
iots,num_iot,20.0,sca,7.8851196052792165,0.2567907237546883,1.0,2.7999999999999994,20
iots,num_iot,24.0,random,6.596301867667181,0.879709175428683,1.0,2.7999999999999994,20
iots,num_iot,24.0,kmeans,7.174409708885294,0.39554762258170567,1.0,2.7999999999999994,20
iots,num_iot,24.0,pso,7.4999469788202004,0.2454494482648867,1.0,2.7999999999999994,20
iots,num_iot,24.0,sca,7.6637332640806335,0.24799385123608372,1.0,2.7999999999999994,20
iots,num_iot,28.0,random,6.00661612171434,1.1458596084986705,1.0,2.7999999999999994,20
iots,num_iot,28.0,kmeans,7.14238399978495,0.3498584450076856,1.0,2.7999999999999994,20
iots,num_iot,28.0,pso,7.331693676959154,0.2584075590582878,1.0,2.7999999999999994,20
iots,num_iot,28.0,sca,7.48409247842903,0.26029498915964716,1.0,2.7999999999999994,20
