axis,x_name,x,repeated_default,bh_q_unique_family,bh_family_size,champion,baseline,n_seeds,n_jointly_feasible,mean_delta_Mbps,std_delta_Mbps,sem_delta_Mbps,ci95_lo_Mbps,ci95_hi_Mbps,wins,ties,losses,win_rate,wilcoxon_W_plus,wilcoxon_n_nonzero,wilcoxon_method,wilcoxon_p_two_sided,wilcoxon_p_greater,t_stat,t_df,t_p_two_sided,t_p_greater,champion_mean_Mbps,baseline_mean_Mbps,quote
uavs,num_uav,1.0,False,1.5894571940104168e-05,25,sca,random,20,20,0.2580388757730482,0.22969592700825722,0.051361570694529304,0.15053787283720577,0.3655398787088906,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,5.023967769749938,19,7.535886733780198e-05,3.767943366890099e-05,8.758115917432095,8.500077041659045,"SCA wins by 0.258+/-0.230 Mbps vs random, p<0.001, 20/20 seeds"
uavs,num_uav,1.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.1927869935995326,0.12461076206611246,0.02786381347078796,0.1344673617576273,0.2511066254414379,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,6.918901958687308,19,1.3487648373929707e-06,6.743824186964854e-07,8.758115917432095,8.565328923832563,"SCA wins by 0.193+/-0.125 Mbps vs kmeans, p<0.001, 20/20 seeds"
uavs,num_uav,1.0,False,9.5367431640625e-06,25,sca,pso,20,20,0.16089818597297106,0.10180783207100814,0.02276492331526574,0.11325065387735944,0.20854571806858269,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,7.067811463484074,19,1.0025928322696229e-06,5.012964161348114e-07,8.758115917432095,8.597217731459125,"SCA wins by 0.161+/-0.102 Mbps vs pso, p<0.001, 20/20 seeds"
uavs,num_uav,2.0,False,0.0038407065651633525,25,sca,random,20,20,0.08817694720005234,0.10336661092618141,0.02311347686347141,0.03979988414379689,0.13655401025630778,15,0,5,0.75,185.0,20,exact,0.001689910888671875,0.0008449554443359375,3.814958161461523,19,0.0011691639697490833,0.0005845819848745417,8.885710543045438,8.797533595845385,"SCA wins by 0.088+/-0.103 Mbps vs random, p=0.00169, 15/20 seeds"
uavs,num_uav,2.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.0955699178423278,0.08206452657986889,0.018350185997392514,0.05716253714691884,0.13397729853773677,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,5.208117119679762,19,5.0051529608354356e-05,2.5025764804177178e-05,8.885710543045438,8.790140625203112,"SCA wins by 0.096+/-0.082 Mbps vs kmeans, p<0.001, 20/20 seeds"
uavs,num_uav,2.0,False,0.007599592208862305,25,sca,pso,20,20,0.03801081355636589,0.05489893197710881,0.012275774379295222,0.01231732249401183,0.06370430461871995,17,0,3,0.85,175.0,20,exact,0.0072956085205078125,0.0036478042602539062,3.0964086160198856,19,0.005942494773448484,0.002971247386724242,8.885710543045438,8.84769972948907,"SCA wins by 0.038+/-0.055 Mbps vs pso, p=0.0073, 17/20 seeds"
uavs,num_uav,3.0,False,0.13272666931152344,25,sca,random,20,20,0.018778429973196075,0.042308832436695115,0.009460542537709834,-0.0010227131259835827,0.038579573072375736,15,0,5,0.75,147.0,20,exact,0.1230926513671875,0.06154632568359375,1.9849210442577718,19,0.061782588798032285,0.030891294399016143,8.946425328822471,8.927646898849275,"SCA wins by 0.019+/-0.042 Mbps vs random, p=0.123 (n.s.), 15/20 seeds"
uavs,num_uav,3.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.04558627080300006,0.019470739405162592,0.004353789688212737,0.03647368425773598,0.05469885734826414,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,10.470480677194484,19,2.4969754528046605e-09,1.2484877264023302e-09,8.946425328822471,8.900839058019471,"SCA wins by 0.046+/-0.019 Mbps vs kmeans, p<0.001, 20/20 seeds"
uavs,num_uav,3.0,False,2.384185791015625e-05,25,sca,pso,20,20,0.04187293596548365,0.026026157910099598,0.005819625828012656,0.029692319119797323,0.05405355281116998,19,0,1,0.95,206.0,20,exact,1.33514404296875e-05,6.67572021484375e-06,7.195125116795153,19,7.798785260431058e-07,3.899392630215529e-07,8.946425328822471,8.904552392856989,"SCA wins by 0.042+/-0.026 Mbps vs pso, p<0.001, 19/20 seeds"
uavs,num_uav,4.0,False,0.016849381583077565,25,sca,random,20,20,0.00426925060472696,0.006449010942531183,0.0014420426855139715,0.0012510205764626695,0.00728748063299125,15,0,5,0.75,173.0,20,exact,0.009435653686523438,0.004717826843261719,2.9605577196942114,19,0.008032532952562036,0.004016266476281018,8.970568487409306,8.966299236804579,"SCA wins by 0.004+/-0.006 Mbps vs random, p=0.00944, 15/20 seeds"
