axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
uavs,num_uav,1.0,sca_joint,8.758115917432097,0.082097377314511,1.0,2.7999999999999994,20
uavs,num_uav,2.0,sca_joint,8.888861027747891,0.04626441169476692,1.0,2.7999999999999994,20
uavs,num_uav,3.0,sca_joint,8.952363841502425,0.023427054480812927,1.0,2.7999999999999994,20
uavs,num_uav,4.0,sca_joint,8.97197935171989,0.00845091991863102,1.0,2.7999999999999994,20
uavs,num_uav,5.0,sca_joint,8.977558108286885,0.005593603756312291,1.0,2.7999999999999994,20
iots,num_iot,10.0,sca_joint,8.952363841502425,0.023427054480812927,1.0,2.7999999999999994,20
iots,num_iot,16.0,sca_joint,8.94315905896046,0.013371738980499717,1.0,2.7999999999999994,20
iots,num_iot,20.0,sca_joint,8.935878999139598,0.013111730717634489,1.0,2.7999999999999994,20
iots,num_iot,24.0,sca_joint,8.927585259423362,0.009850378878269056,1.0,2.7999999999999994,20
iots,num_iot,28.0,sca_joint,8.919282886249452,0.010781764939402765,1.0,2.7999999999999994,20
iots,num_iot,32.0,sca_joint,8.907297107884569,0.01712895350926672,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,sca_joint,8.947016642616665,0.023691033011824784,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,sca_joint,8.950856472275767,0.02345139626236112,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,sca_joint,8.952363841502425,0.023427054480812927,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.5,sca_joint,8.951943012762953,0.024351272749749242,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,sca_joint,8.952424699383252,0.024335382813833246,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,sca_joint,8.952752168804539,0.024325424642151972,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,0.8,sca_joint,8.90900890978301,0.028659818273822968,0.0,10.463750000000001,20
aodt,aodt_threshold_s,1.2,sca_joint,8.894234234760281,0.0320429768713103,1.0,1.2,20
aodt,aodt_threshold_s,1.6,sca_joint,8.929530793046535,0.025840739694114382,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,2.0,sca_joint,8.941650837037509,0.024037720989792698,1.0,2.0,20
aodt,aodt_threshold_s,2.4,sca_joint,8.948246186587337,0.023522802228040818,1.0,2.4,20
aodt,aodt_threshold_s,2.8,sca_joint,8.952363841502425,0.023427054480812927,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,3.0,sca_joint,8.952655448687825,0.024328390345579775,1.0,3.0,20
cpu,uav_cpu_cycles_per_s,50000000.0,sca_joint,8.948659515613542,0.02478925037287707,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,100000000.0,sca_joint,8.951547559550066,0.023438508067122714,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,sca_joint,8.952099858646429,0.023430311861077826,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,sca_joint,8.952363841502425,0.023427054480812927,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,sca_joint,8.95251836081319,0.023425171601421255,1.0,2.7999999999999994,20
